lig_id,ligand_name,SMILES,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton,,,,,,,,
142,n-n-12,[H]/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,529,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,30.3975,5,,,,,,20,0.7,,300,20,7.8,,,,,,,,,
142,n-n-12,[H]/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,530,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,50.6625,2.5,,,,,,20,0.6,,4800,20,2.4,,,,,,,,,
142,n-n-12,[H]/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,531,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,10.1325,5,,,,,,20,0.5,,300,20,17.7,,,,,,,,,
142,n-n-12,[H]/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,532,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,10.1325,5,,,,,,20,0.5,,300,20,35,,,,,,,,,
142,n-n-12,[H]/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,533,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,30.3975,5,,,,,,20,0.85,,300,20,11,,,,,,,,,
143,n-n-13,C/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C,534,"Macromolecules 2020, 53, 21, 9294–9305",ethylenemethyl acrylate,Ni,ethylene,methyl acrylate,toluene,40,30.3975,5,,,,,,20,1.8,,900,20,1,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,535,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,30,8.106,none,,,,,,20,272.000,,108000,0.5000,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,536,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,50,8.106,none,,,,,,20,392,,65000,0.5000,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,537,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,80,8.106,none,,,,,,20,528,,82000,0.5000,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,538,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,100,8.106,none,,,,,,20,240,,72000,0.5000,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,539,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,30,20.265,none,,,,,,20,344,,239000,0.5000,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,540,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,50,20.265,none,,,,,,20,412,,146000,0.5,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,541,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,80,20.265,none,,,,,,20,608,,78000,0.5,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,542,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,100,20.265,none,,,,,,20,304,,96000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,543,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,30,8.106,none,,,,,,20,304,,27000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,544,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,50,8.106,none,,,,,,20,792,,232000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,545,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,80,8.106,none,,,,,,20,1128,,104000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,546,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,100,8.106,none,,,,,,20,328,,105000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,547,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,30,20.265,none,,,,,,20,2272,,234000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,548,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,50,20.265,none,,,,,,20,1488,,196000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,549,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,80,20.265,none,,,,,,20,1792,,142000,0.5,none,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,550,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenenone,Ni,ethylene,none,toluene,100,20.265,none,,,,,,20,640,,163000,0.5,none,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,551,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenemethyl 10-undecenoate,Ni,ethylene,methyl 10-undecenoate,toluene,80,8.106,10,,,,,,20,6,,147000,1,0.2,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,552,Journal of Polymer Science 61.2 (2023): 115-122.,ethyleneCH2CH(CH2)9OH,Ni,ethylene,CH2CH(CH2)9OH,toluene,80,8.106,10,,,,,,20,26,,33000,1,0.4,,,,,,,,,
144,p-o-43,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C1=O,553,Journal of Polymer Science 61.2 (2023): 115-122.,ethyleneCH2CH(CH2)4Cl,Ni,ethylene,CH2CH(CH2)4Cl,toluene,80,8.106,10,,,,,,20,6.5,,122000,1,0.1,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,554,Journal of Polymer Science 61.2 (2023): 115-122.,ethylenemethyl 10-undecenoate,Ni,ethylene,methyl 10-undecenoate,toluene,80,8.106,10,,,,,,20,3,,83000,1,0.5,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,555,Journal of Polymer Science 61.2 (2023): 115-122.,ethyleneCH2CH(CH2)9OH,Ni,ethylene,CH2CH(CH2)9OH,toluene,80,8.106,10,,,,,,20,9.5,,122000,1,0.5,,,,,,,,,
145,p-o-44,O=C(C(C(C)(C)C)=C1)C(PC2=CC=CC=C2)=C(C3=CC=CC=C3C4=C(F)C=CC=C4F)C1=O,556,Journal of Polymer Science 61.2 (2023): 115-122.,ethyleneCH2CH(CH2)4Cl,Ni,ethylene,CH2CH(CH2)4Cl,toluene,80,8.106,10,,,,,,20,12,,84000,1,0.6,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,557,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,4.25,,46100,0.5,none,,,,,,,,,
147,n-o-10,[O]C1=C(C)CC/C1=N\C2=C(C)C=C(C)C=C2C,558,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,0.23,,,0.5,none,,,,,,,,,
148,n-o-11,[O]C1=C(C)CC/C1=N\C2=CC(C)=CC(C)=C2,559,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,0.08,,,0.5,none,,,,,,,,,
149,n-o-12,[O]C1=C(C)CC/C1=N\C2=CC=C(C)C=C2,560,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,0.07,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,561,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,0,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,562,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,4.99,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,563,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,4.22,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,564,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,25,,none,,,,,,30,0.52,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,565,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,40,,none,,,,,,30,2.51,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,566,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,50,,none,,,,,,30,4.48,,63500,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,567,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,70,,none,,,,,,30,12.7,,101000,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,568,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,80,,none,,,,,,30,33.5,,24000,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,569,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,90,,none,,,,,,30,20.2,,51000,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,570,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,25,,none,,,,,,30,0.32,,,0.5,none,,,,,,,,,
146,n-o-8,[O]C1=C(C)CC/C1=N\C2=C(C(C)C)C=CC=C2C(C)C,571,"Organometallics 2020, 39, 10, 1751–1761",ethylenenone,Ni,ethylene,none,toluene,60,,none,,,,,,30,3.87,,,0.5,none,,,,,,,,,
152,n-o-15,O=C1C(C2=CC=C(C(F)(F)F)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,572,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,40,13.7895,none,,,,,,200,1556.1,,202000,0.166666667,none,,,,,,,,,
152,n-o-15,O=C1C(C2=CC=C(C(F)(F)F)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,573,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,60,13.7895,none,,,,,,200,3249,,220000,0.166666667,none,,,,,,,,,
152,n-o-15,O=C1C(C2=CC=C(C(F)(F)F)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,574,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,80,13.7895,none,,,,,,200,10174.5,,100000,0.166666667,none,,,,,,,,,
150,n-o-13,O=C1C(C2=CC=CC=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,575,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,40,13.7895,none,,,,,,200,1641.6,,251000,0.166666667,none,,,,,,,,,
150,n-o-13,O=C1C(C2=CC=CC=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,576,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,60,13.7895,none,,,,,,200,5472,,194000,0.166666667,none,,,,,,,,,
150,n-o-13,O=C1C(C2=CC=CC=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,577,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,80,13.7895,none,,,,,,200,10995.3,,87000,0.166666667,none,,,,,,,,,
151,n-o-14,O=C1C(C2=CC=C(OC)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,578,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,40,13.7895,none,,,,,,200,16074,,242000,0.166666667,none,,,,,,,,,
151,n-o-14,O=C1C(C2=CC=C(OC)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,579,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,60,13.7895,none,,,,,,200,4668.3,,235000,0.166666667,none,,,,,,,,,
151,n-o-14,O=C1C(C2=CC=C(OC)C=C2)=CC=CC=C1[N]C3=C(C(C)C)C=CC=C3C(C)C,580,"J. Am. Chem. Soc. 2004, 126, 18, 5827–5842",ethylenenone,Ni,ethylene,none,toluene,80,13.7895,none,,,,,,200,11970,,102000,0.166666667,none,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,581,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,192,,,,,,160,33.266,,66500,2,46,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,582,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,192,,,,,,160,32.692,,60800,2,44,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,583,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,192,,,,,,160,29.250,,50500,2,44,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,584,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,192,,,,,,160,32.692,,60800,2,44,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,585,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,336,,,,,,160,44.602,,74800,2,48,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,586,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,464,,,,,,160,45.089,,85800,2,49,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,587,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,3.44738,192,,,,,,160,14.904,,74300,2,51,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,588,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,6.89476,192,,,,,,160,32.692,,60800,2,44,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,589,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,10.34214,192,,,,,,160,96.154,,55100,2,40,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,590,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,20.68428,192,,,,,,160,136.538,,44700,2,33,,,,,,,,,
153,p-o-45,[O]/C(C1=CC=CC=C1)=C\P(C2=CC=CC=C2)C3=CC=CC=C3,591,"Macromolecules 2002, 35, 24, 8978–8988",ethylenenorbonene,Ni,ethylene,norbonene,toluene,25,31.02642,192,,,,,,160,163.462,,40000,2,26,,,,,,,,,
154,p-o-46,[O]/C(C(F)(F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,592,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,2000.000,,3500,0.136,none,,,,,,,,,
154,p-o-46,[O]/C(C(F)(F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,593,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,970.000,,4800,0.105,none,,,,,,,,,
155,p-o-47,[O]/C(C(F)(C(F)(C(F)(F)F)F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,594,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,1400.000,,3700,0.110,none,,,,,,,,,
156,p-o-48,[O]/C(C1=C(C(F)=C(C(F)=C1F)F)F)=C(CC(OC)=O)\P(C2=CC=CC=C2)C3=CC=CC=C3,595,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,610.000,,3800,0.095,none,,,,,,,,,
156,p-o-48,[O]/C(C1=C(C(F)=C(C(F)=C1F)F)F)=C(CC(OC)=O)\P(C2=CC=CC=C2)C3=CC=CC=C3,596,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,420.000,,5000,0.138,none,,,,,,,,,
157,p-o-49,[O]/C(C1=C(F)C(F)=C(F)C(F)=C1F)=C(C(OC(C)(C)C)=O)\P(C2=CC=CC=C2)C3=CC=CC=C3,597,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,1180.000,,3700,0.095,none,,,,,,,,,
157,p-o-49,[O]/C(C1=C(F)C(F)=C(F)C(F)=C1F)=C(C(OC(C)(C)C)=O)\P(C2=CC=CC=C2)C3=CC=CC=C3,598,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,500.000,,4700,0.252,none,,,,,,,,,
158,p-o-50,[O]/C(C1=C(F)C(F)=C(F)C(F)=C1F)=C(C(OCC2=CC=CC=C2)=O)\P(C3=CC=CC=C3)C4=CC=CC=C4,599,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,1080.000,,3700,0.093,none,,,,,,,,,
158,p-o-50,[O]/C(C1=C(F)C(F)=C(F)C(F)=C1F)=C(C(OCC2=CC=CC=C2)=O)\P(C3=CC=CC=C3)C4=CC=CC=C4,600,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,560.000,,4600,0.114,none,,,,,,,,,
155,p-o-47,[O]/C(C(F)(C(F)(C(F)(F)F)F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,601,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,140.000,,4400,0.364,none,,,,,,,,,
159,p-o-51,[O]/C(C1=CC=CC=C1)=C(CC(OC)=O)\P(C2=CC=CC=C2)C3=CC=CC=C3,602,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,35.000,,8000,0.229,none,,,,,,,,,
160,p-o-52,[O]/C(C)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,603,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,10,,10000,0.050,none,,,,,,,,,
154,p-o-46,[O]/C(C(F)(F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,604,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,15,,1500,0.067,none,,,,,,,,,
154,p-o-46,[O]/C(C(F)(F)F)=C(CC(OC)=O)\P(C1=CC=CC=C1)C2=CC=CC=C2,605,"Macromolecules 2001, 34, 8, 2438–2442",ethylenenone,Ni,ethylene,none,toluene,70,3,none,,,,,,400,0,,1700,0.050,none,,,,,,,,,
161,n-o-16,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=C(C(C)(C)C)C=C1C(O)(C3=CC=CC=C3)C4=CC=CC=C4,606,"Organometallics 2010, 29, 21, 5040–5049",ethylenenone,Ni,ethylene,none,toluene,25,8.106,none,,,,,,25,1184,,6700,0.660,none,,,,,,,,,
162,n-o-17,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=C(C(C)(C)C)C=C1C(OC)(C3=CC=CC=C3)C4=CC=CC=C4,607,"Organometallics 2010, 29, 21, 5040–5049",ethylenenone,Ni,ethylene,none,toluene,25,8.106,none,,,,,,25,472,,7400,0.66,none,,,,,,,,,
161,n-o-16,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=C(C(C)(C)C)C=C1C(O)(C3=CC=CC=C3)C4=CC=CC=C4,608,"Organometallics 2010, 29, 21, 5040–5049",ethylenenone,Ni,ethylene,none,toluene,50,8.106,none,,,,,,25,792,,1400,0.66,none,,,,,,,,,
162,n-o-17,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=C(C(C)(C)C)C=C1C(OC)(C3=CC=CC=C3)C4=CC=CC=C4,609,"Organometallics 2010, 29, 21, 5040–5049",ethylenenone,Ni,ethylene,none,toluene,50,8.106,none,,,,,,25,960,,3100,0.66,none,,,,,,,,,
163,n-n-14,CC(C=C1C2=CC=CC=C2)=CC(C3=CC=CC=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=CC=C8)C=C(C)C=C7C9=CC=CC=C9,610,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,30,8,none,,,,,,100,34400,,150000,0.167,none,,,,,,,,,
163,n-n-14,CC(C=C1C2=CC=CC=C2)=CC(C3=CC=CC=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=CC=C8)C=C(C)C=C7C9=CC=CC=C9,611,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,60,8,none,,,,,,100,27700,,55000,0.167,none,,,,,,,,,
163,n-n-14,CC(C=C1C2=CC=CC=C2)=CC(C3=CC=CC=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=CC=C8)C=C(C)C=C7C9=CC=CC=C9,612,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,90,8,none,,,,,,100,18300,,32000,0.167,none,,,,,,,,,
164,n-n-15,CC(C=C1C2=CC=C(F)C=C2)=CC(C3=CC=C(F)C=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=C(F)C=C8)C=C(C)C=C7C9=CC=C(F)C=C9,613,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,30,8,none,,,,,,100,36100,,37000,0.167,none,,,,,,,,,
164,n-n-15,CC(C=C1C2=CC=C(F)C=C2)=CC(C3=CC=C(F)C=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=C(F)C=C8)C=C(C)C=C7C9=CC=C(F)C=C9,614,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,60,8,none,,,,,,100,33500,,27000,0.167,none,,,,,,,,,
164,n-n-15,CC(C=C1C2=CC=C(F)C=C2)=CC(C3=CC=C(F)C=C3)=C1/N=C(C4=C5C6=CC=CC5=CC=C4)/C6=N/C7=C(C8=CC=C(F)C=C8)C=C(C)C=C7C9=CC=C(F)C=C9,615,Chemistry–A European Journal 27.46 (2021): 11935-11942,ethylenenone,Ni,ethylene,none,toluene,90,8,none,,,,,,100,19000,,20000,0.167,none,,,,,,,,,
